Item	Qty	Reference	Part Name	Manufacturer	Description
1	1	U14	24CW128X		
2	1	U6	AO3401A		
3	1	Q3	BC817-16LT1	MOTOROLA	GENERAL PURPOSE NPN SILICON TRANSISTOR
4	2	L4-5	BEAD		
5	1	B2	BEAD-0603(1608),1.8nH		
6	2	B3-4	BEAD-0603(1608),47nH		
7	1	B1	BEAD-0603(1608),ferrite 1K, 1MHz		
8	1	Z1	BUZZER		
9	1	C23	C-N-0603(1608),0.01uF		
10	16	C1-3 C7-9 C14-15 C21 C25 C27 C37 C40 C42 C54 C57	C-N-0603(1608),0.1uF		
11	1	C16	C-N-0603(1608),0.1uF(NC)		
12	1	C26	C-N-0603(1608),1000pF		
13	18	C10 C12 C17 C22 C28 C32-33 C35 C43-52	C-N-0603(1608),1uF		
14	2	C31 C39	C-N-0603(1608),220pF		
15	3	C6 C41 C55	C-N-0603(1608),22pF		
16	1	C24	C-N-0603(1608),4.7uF		
17	1	C38	C-N-0603(1608),4.7uF (NC)		
18	1	C53	C-N-0603(1608),47uF		
19	1	C18	C-N-0603(1608),N/C		
20	1	C59	C-N-0603(1608),SHORT		
21	12	C4-5 C11 C13 C19-20 C29-30 C34 C36 C56 C58	C-P-0805(2012),10uF		
22	1	L1	COIL,???		
23	1	U9	CP2104		
24	5	D2-3 D5-7	D-1206(3216),S1M		
25	1	J3	EINK-WARESHARE		
26	1	U3	ESP-WROOM32		
27	1	U4	FDC6326L		
28	1	M1	GPS_M20050-1		
29	2	D1 D4	LED		
30	1	U13	MAX809		
31	1	U1	MCP9800		
32	1	U5	MCP73831		
33	1	J2	MICRO-SD		
34	1	U11	MS5611-01BA		
35	1	U12	PAM8304		
36	2	R8 R16	R-0603(1608),0K		
37	10	R9 R11-12 R15 R24-26 R28 R33 R37	R-0603(1608),0R		
38	5	R30 R40 R48 R64-65	R-0603(1608),100K		
39	14	R6 R21-22 R27 R29 R31 R35 R45-47 R57 R59 R69-70	R-0603(1608),100R		
40	18	R1 R3 R10 R14 R17-19 R32 R38-39 R41 R50-54 R56 R58	R-0603(1608),10K		
41	5	R2 R20 R49 R66-67	R-0603(1608),1K		
42	2	R42 R44	R-0603(1608),1M		
43	1	R23	R-0603(1608),2K		
44	1	R7	R-0603(1608),3R/0.47R		
45	3	R13 R36 R43	R-0603(1608),4.7K		
46	4	R60-63	R-0603(1608),470R		
47	2	R4-5	R-0603(1608),50K		
48	1	R34	R-0603(1608),560K		
49	1	R55	R-0603(1608),N/C		
50	1	Q1	SI1308EDL		
51	1	J5	SIP_02		
52	4	SW1 SW3-5	SW-SPST-ITS-1164		
53	1	U2	TC1017-3V3		
54	1	U7	TPS78233		
55	1	U10	UMH3N		
56	1	J1	USB_TYPEB_MINI		
